Event count,COPLNT_YR,COPLNT_MON,COPLNT_DAY,COPLNT_1R_DT,COPLNT_1R_TM,Crime type,age,race,sex,Zone,Latitude,Longitude,BORO_N0,PRE0_TYP_DESC,KY_CD,PD_CD
2,2013,1,2,01/02/2013,4,4,3,1,1,4,40.77641236,-73.94825085,MANHATTAN,RESIDENCE - APT. HOUSE,109,438
1,2013,1,2,01/02/2013,7,8,2,1,0,5,40.7478456,-73.99477916,MANHATTAN,FAST FOOD,351,258
1,2013,1,2,01/02/2013,5,8,2,3,1,2,40.82226207,-73.9405374,MANHATTAN,FAST FOOD,351,258
1,2013,1,2,01/02/2013,4,7,3,1,0,4,40.78047146,-73.95383362,MANHATTAN,RESIDENCE - APT. HOUSE,112,739
1,2013,1,2,01/02/2013,2,8,1,1,1,1,40.86300322,-73.92425384,MANHATTAN,RESIDENCE - APT. HOUSE,361,639
1,2013,1,2,01/02/2013,8,4,2,2,0,2,40.81969835,-73.95909575,MANHATTAN,FOOD SUPERMARKET,341,333
1,2013,1,2,01/02/2013,1,4,1,1,1,2,40.81969835,-73.95909575,MANHATTAN,FOOD SUPERMARKET,341,333
2,2013,1,2,01/02/2013,8,3,3,3,0,2,40.84074193,-73.92165536,BRONX,GROCERY/BODEGA,344,113
1,2013,1,2,01/02/2013,4,4,3,3,1,2,40.81770983,-73.92397301,BRONX,STREET,341,321
1,2013,1,2,01/02/2013,1,7,2,1,1,6,40.70754637,-74.01377605,MANHATTAN,CHAIN STORE,112,739
1,2013,1,2,01/02/2013,6,4,3,1,1,2,40.82294261,-73.95198314,MANHATTAN,RESIDENCE - APT. HOUSE,109,403
1,2013,1,2,01/02/2013,7,8,2,1,1,4,40.76846778,-73.95861457,MANHATTAN,RESIDENCE - APT. HOUSE,361,639
2,2013,1,2,01/02/2013,7,8,3,3,0,4,40.74829799,-73.98817814,MANHATTAN,TRANSIT - NYC SUBWAY,121,273
1,2013,1,2,01/02/2013,3,8,3,1,1,4,40.75410547,-73.97055611,MANHATTAN,RESIDENCE - APT. HOUSE,361,639
1,2013,1,2,01/02/2013,6,8,1,1,0,3,40.80276581,-73.93957234,MANHATTAN,RESIDENCE - APT. HOUSE,361,639
3,2013,1,2,01/02/2013,7,4,2,1,1,5,40.72424356,-73.99778628,MANHATTAN,STREET,109,419
1,2013,1,2,01/02/2013,8,4,1,1,1,4,40.75122284,-73.98045027,MANHATTAN,OTHER,109,401
1,2013,1,2,01/02/2013,7,4,3,1,1,5,40.722942,-73.98864443,MANHATTAN,STREET,109,405
1,2013,1,2,01/02/2013,6,9,3,1,1,3,40.79903099,-73.96026062,MANHATTAN,RESIDENCE - APT. HOUSE,126,198
1,2013,1,2,01/02/2013,8,8,3,1,1,2,40.84070387,-73.92219752,BRONX,RESIDENCE - APT. HOUSE,351,259
1,2013,1,2,01/02/2013,5,7,3,1,0,4,40.77588356,-73.97620784,MANHATTAN,RESIDENCE - APT. HOUSE,112,739
1,2013,1,2,01/02/2013,5,8,3,3,0,2,40.82909603,-73.92153177,BRONX,RESIDENCE - APT. HOUSE,361,639
2,2013,1,2,01/02/2013,4,4,1,3,0,4,40.75911364,-73.96690454,MANHATTAN,PUBLIC SCHOOL,341,339
1,2013,1,2,01/02/2013,7,4,3,1,0,3,40.78962313,-73.97361002,MANHATTAN,BUS (NYC TRANSIT),109,415
1,2013,1,2,01/02/2013,5,4,2,1,1,6,40.71409855,-74.00948121,MANHATTAN,RESIDENCE - APT. HOUSE,109,438
1,2013,1,2,01/02/2013,5,8,1,1,1,3,40.79695571,-73.96825817,MANHATTAN,RESIDENCE - PUBLIC HOUSING,361,639
1,2013,1,2,01/02/2013,1,4,2,3,0,3,40.80330628,-73.95060667,MANHATTAN,RESIDENCE - APT. HOUSE,109,438
1,2013,1,2,01/02/2013,7,7,2,1,0,1,40.85048054,-73.93559268,MANHATTAN,RESIDENCE - APT. HOUSE,112,739
1,2013,1,2,01/02/2013,5,4,2,1,0,3,40.79060456,-73.94643052,MANHATTAN,STREET,105,397
1,2013,1,2,01/02/2013,7,4,2,1,0,5,40.73367716,-73.99418852,MANHATTAN,STREET,110,441
1,2013,1,2,01/02/2013,5,4,2,1,1,1,40.86174582,-73.91216596,BRONX,GAS STATION,109,405
1,2013,1,2,01/02/2013,7,4,3,1,0,4,40.76170399,-73.9498217,MANHATTAN,STREET,109,421
1,2013,1,2,01/02/2013,7,9,1,3,1,2,40.82201694,-73.93891535,MANHATTAN,RESIDENCE - APT. HOUSE,126,198
1,2013,1,2,01/02/2013,2,4,3,1,1,5,40.72252158,-73.9846003,MANHATTAN,RESIDENCE - APT. HOUSE,107,221
1,2013,1,2,01/02/2013,8,6,2,2,0,4,40.75626621,-73.99050125,MANHATTAN,BUS TERMINAL,235,511
1,2013,1,2,01/02/2013,8,4,1,1,1,3,40.78874407,-73.97053357,MANHATTAN,CHAIN STORE,341,333
2,2013,1,2,01/02/2013,7,4,3,1,1,3,40.81097984,-73.94902233,MANHATTAN,RESIDENCE - PUBLIC HOUSING,109,438
1,2013,1,2,01/02/2013,6,4,1,3,0,1,40.87013885,-73.91551023,MANHATTAN,RESIDENCE - APT. HOUSE,341,313
1,2013,1,2,01/02/2013,5,3,3,3,0,6,40.68977752,-73.99671286,BROOKLYN,HOSPITAL,344,101
1,2013,1,2,01/02/2013,4,4,2,1,0,3,40.7948248,-73.93861887,MANHATTAN,PUBLIC SCHOOL,341,338
1,2013,1,2,01/02/2013,4,9,3,1,1,5,40.74536441,-73.99658381,MANHATTAN,PUBLIC SCHOOL,126,640
1,2013,1,2,01/02/2013,6,6,3,2,0,3,40.80904637,-73.94640123,MANHATTAN,STREET,235,567
1,2013,1,2,01/02/2013,3,4,3,3,0,4,40.76229871,-73.98610723,MANHATTAN,BUS (OTHER),341,321
1,2013,1,2,01/02/2013,6,4,3,1,0,5,40.73169972,-73.98231781,MANHATTAN,STREET,341,349
1,2013,1,2,01/02/2013,8,3,3,2,1,5,40.71676379,-73.99148808,MANHATTAN,SOCIAL CLUB/POLICY,344,101
1,2013,1,2,01/02/2013,5,2,1,1,1,5,40.73669807,-73.98331603,MANHATTAN,RESIDENCE - APT. HOUSE,104,157
1,2013,1,2,01/02/2013,7,2,1,3,1,5,40.7426993,-73.99865538,MANHATTAN,RESIDENCE - APT. HOUSE,104,157
1,2013,1,2,01/02/2013,3,8,3,1,1,3,40.80161235,-73.94366574,MANHATTAN,RESIDENCE - APT. HOUSE,361,639
1,2013,1,2,01/02/2013,8,4,2,1,1,6,40.69190532,-73.97754679,BROOKLYN,PARK/PLAYGROUND,105,386
1,2013,1,2,01/02/2013,8,8,3,1,0,2,40.83850492,-73.939829,MANHATTAN,STREET,351,254
1,2013,1,2,01/02/2013,8,4,3,1,1,5,40.71742196,-74.01430116,MANHATTAN,RESIDENCE - APT. HOUSE,109,438
2,2013,1,2,01/02/2013,8,4,2,1,1,4,40.76101447,-73.98889784,MANHATTAN,RESIDENCE - APT. HOUSE,109,438
1,2013,1,2,01/02/2013,8,2,3,3,0,3,40.7842361,-73.95108302,MANHATTAN,RESIDENCE - APT. HOUSE,578,638
1,2013,1,2,01/02/2013,7,4,3,2,0,5,40.71473845,-73.99760263,MANHATTAN,STREET,341,343
1,2013,1,2,01/02/2013,7,2,3,3,0,2,40.8181375,-73.93676565,MANHATTAN,RESIDENCE - APT. HOUSE,578,637
1,2013,1,2,01/02/2013,7,4,2,3,1,3,40.80264049,-73.94707461,MANHATTAN,STREET,110,441
1,2013,1,2,01/02/2013,6,8,3,3,1,5,40.72788312,-73.99856187,MANHATTAN,RESIDENCE - APT. HOUSE,361,639
2,2013,1,2,01/02/2013,6,2,3,3,1,2,40.82367873,-73.94694226,MANHATTAN,RESIDENCE - APT. HOUSE,578,638
1,2013,1,2,01/02/2013,5,4,3,1,0,3,40.80002496,-73.97071278,MANHATTAN,RESIDENCE - APT. HOUSE,109,403
1,2013,1,2,01/02/2013,3,4,2,2,1,1,40.86988467,-73.9208979,MANHATTAN,STREET,341,357
1,2013,1,2,01/02/2013,1,8,3,3,0,5,40.73466806,-74.00475001,MANHATTAN,STREET,351,254
1,2013,1,2,01/02/2013,8,8,2,3,0,2,40.83015183,-73.92857325,BRONX,STREET,351,254
1,2013,1,2,01/02/2013,8,4,2,1,0,6,40.70132337,-73.98179571,BROOKLYN,RESIDENCE - PUBLIC HOUSING,232,490
1,2013,1,2,01/02/2013,8,2,1,3,1,3,40.81039602,-73.92531075,BRONX,RESIDENCE - APT. HOUSE,233,681
1,2013,1,2,01/02/2013,8,4,2,2,0,5,40.7256977,-73.98823988,MANHATTAN,BAR/NIGHT CLUB,341,338
1,2013,1,2,01/02/2013,8,8,2,1,1,3,40.78214028,-73.98492594,MANHATTAN,RESIDENCE - APT. HOUSE,351,259
1,2013,1,2,01/02/2013,8,6,3,3,0,3,40.79584721,-73.94691026,MANHATTAN,RESIDENCE - PUBLIC HOUSING,235,567
1,2013,1,2,01/02/2013,8,4,2,3,0,2,40.84771793,-73.93797729,MANHATTAN,STREET,109,405
1,2013,1,2,01/02/2013,8,3,3,1,0,3,40.81305762,-73.9490677,MANHATTAN,RESIDENCE - APT. HOUSE,106,109
1,2013,1,2,01/02/2013,8,8,3,3,1,6,40.68297718,-73.98084165,BROOKLYN,RESIDENCE - APT. HOUSE,351,259
1,2013,1,2,01/02/2013,8,8,3,3,0,5,40.72256087,-73.99373853,MANHATTAN,STREET,351,254
1,2013,1,2,01/02/2013,8,4,2,3,1,5,40.72825367,-73.99931593,MANHATTAN,BAR/NIGHT CLUB,109,438
1,2013,1,2,01/02/2013,8,3,1,1,0,2,40.82170512,-73.95291259,MANHATTAN,STREET,236,782
1,2013,1,2,01/02/2013,8,2,2,1,1,4,40.77722278,-73.97523249,MANHATTAN,RESIDENCE - APT. HOUSE,578,638
1,2013,1,2,01/02/2013,8,8,2,1,0,4,40.75416455,-73.94465152,QUEENS,RESIDENCE - PUBLIC HOUSING,359,759
1,2013,1,2,01/02/2013,8,3,2,1,0,2,40.82539373,-73.92618277,BRONX,STREET,106,109
1,2013,1,2,01/02/2013,8,8,2,1,1,5,40.7445855,-73.97748573,MANHATTAN,RESIDENCE - APT. HOUSE,351,259
1,2013,1,2,01/02/2013,8,8,3,1,1,5,40.7445855,-73.97748573,MANHATTAN,RESIDENCE - APT. HOUSE,351,259
1,2013,1,2,01/02/2013,8,8,2,1,0,5,40.73865352,-73.99776415,MANHATTAN,STREET,351,254
2,2013,1,2,01/02/2013,7,8,2,3,1,3,40.81054022,-73.94797867,MANHATTAN,RESIDENCE - PUBLIC HOUSING,351,254
1,2013,1,2,01/02/2013,7,2,2,3,0,3,40.81485029,-73.95668185,MANHATTAN,HOSPITAL,116,168
1,2013,1,2,01/02/2013,7,4,1,3,1,4,40.76289723,-73.98752578,MANHATTAN,DRUG STORE,341,333
1,2013,1,2,01/02/2013,7,8,2,1,1,3,40.81054022,-73.94797867,MANHATTAN,RESIDENCE - PUBLIC HOUSING,351,254
1,2013,1,2,01/02/2013,7,4,2,1,1,6,40.68168598,-74.00147608,BROOKLYN,CHURCH,341,339
1,2013,1,2,01/02/2013,7,3,2,3,0,3,40.7875673,-73.94313233,MANHATTAN,RESIDENCE - PUBLIC HOUSING,344,114
1,2013,1,2,01/02/2013,7,4,2,3,1,5,40.74194447,-73.99722273,MANHATTAN,RESIDENCE - APT. HOUSE,341,338
1,2013,1,2,01/02/2013,7,4,2,1,0,3,40.80560387,-73.95818331,MANHATTAN,STREET,341,321
1,2013,1,2,01/02/2013,7,8,2,2,1,5,40.7478456,-73.99477916,MANHATTAN,PARKING LOT/GARAGE (PRIVATE),351,258
1,2013,1,2,01/02/2013,7,4,2,1,0,6,40.70715186,-74.00453164,MANHATTAN,DRUG STORE,341,333
1,2013,1,2,01/02/2013,7,4,2,3,1,4,40.75616977,-73.97156225,MANHATTAN,STREET,109,419
1,2013,1,2,01/02/2013,6,3,2,3,0,2,40.81856834,-73.92731395,BRONX,TRANSIT - NYC SUBWAY,236,782
1,2013,1,2,01/02/2013,6,4,2,1,0,6,40.68606438,-73.9771954,BROOKLYN,STREET,341,321
1,2013,1,2,01/02/2013,6,8,2,3,1,3,40.8127971,-73.9436635,MANHATTAN,STREET,351,254
1,2013,1,2,01/02/2013,6,4,3,1,0,1,40.86948709,-73.92148772,MANHATTAN,STREET,341,321
1,2013,1,2,01/02/2013,5,4,1,3,0,4,40.7789696,-73.94638211,MANHATTAN,RESIDENCE - APT. HOUSE,341,338
1,2013,1,2,01/02/2013,5,8,2,2,1,3,40.8132618,-73.95154939,MANHATTAN,RESIDENCE - APT. HOUSE,361,639
2,2013,1,2,01/02/2013,5,4,1,1,0,5,40.7348462,-73.99075688,MANHATTAN,BUS (OTHER),341,338
1,2013,1,2,01/02/2013,3,4,3,1,1,1,40.86869151,-73.91807915,MANHATTAN,RESIDENCE - APT. HOUSE,109,401
1,2013,1,2,01/02/2013,3,4,2,3,0,6,40.71138986,-74.00010605,MANHATTAN,RESIDENCE - PUBLIC HOUSING,105,388
1,2013,1,2,01/02/2013,2,4,1,3,1,5,40.74077248,-73.99807442,MANHATTAN,STREET,109,419
1,2013,1,2,01/02/2013,8,4,1,1,0,2,40.84753218,-73.93965096,MANHATTAN,STREET,105,397
1,2013,1,2,01/02/2013,8,3,1,3,0,2,40.81523016,-73.92218756,BRONX,STREET,236,782
1,2013,1,2,01/02/2013,8,4,2,3,0,5,40.74693428,-73.99358827,MANHATTAN,BUS (OTHER),341,339
1,2013,1,2,01/02/2013,8,6,2,3,0,4,40.75497231,-73.9463545,QUEENS,RESIDENCE - PUBLIC HOUSING,117,512
1,2013,1,2,01/02/2013,8,8,3,1,0,3,40.78589784,-73.97075511,MANHATTAN,RESIDENCE-HOUSE,361,639
1,2013,1,2,01/02/2013,8,8,2,3,1,3,40.80778062,-73.94548473,MANHATTAN,TRANSIT - NYC SUBWAY,359,750
1,2013,1,2,01/02/2013,8,8,2,1,1,4,40.75416455,-73.94465152,QUEENS,RESIDENCE - PUBLIC HOUSING,359,759
1,2013,1,2,01/02/2013,8,4,2,2,1,4,40.75666259,-73.97856812,MANHATTAN,STREET,341,339
1,2013,1,2,01/02/2013,8,9,2,1,1,5,40.72278734,-73.9813461,MANHATTAN,RESIDENCE - PUBLIC HOUSING,126,760
1,2013,1,2,01/02/2013,8,3,2,1,1,4,40.75413883,-73.98833592,MANHATTAN,STREET,344,101
1,2013,1,2,01/02/2013,8,3,2,3,1,2,40.81824395,-73.95272356,MANHATTAN,PUBLIC BUILDING,236,782
1,2013,1,2,01/02/2013,8,4,3,1,0,6,40.69067757,-73.99189888,BROOKLYN,BOOK/CARD,352,205
1,2013,1,2,01/02/2013,8,8,2,1,0,2,40.81981776,-73.95543576,MANHATTAN,RESIDENCE - APT. HOUSE,351,259
1,2013,1,2,01/02/2013,8,8,3,1,0,4,40.76511455,-73.98405256,MANHATTAN,STREET,361,639
1,2013,1,2,01/02/2013,8,7,2,1,1,1,40.85402582,-73.92938986,MANHATTAN,STREET,113,725
1,2013,1,2,01/02/2013,7,4,1,2,1,5,40.7286186,-73.994658,MANHATTAN,CHAIN STORE,341,333
1,2013,1,2,01/02/2013,7,6,2,1,1,3,40.80164155,-73.9537792,MANHATTAN,STREET,117,500
1,2013,1,2,01/02/2013,7,2,2,3,0,2,40.84655935,-73.92371234,BRONX,RESIDENCE - APT. HOUSE,578,637
1,2013,1,2,01/02/2013,7,4,3,3,0,3,40.81018206,-73.95116872,MANHATTAN,BUS (NYC TRANSIT),341,339
1,2013,1,2,01/02/2013,7,6,3,1,0,5,40.723393,-73.97625544,MANHATTAN,RESIDENCE - PUBLIC HOUSING,117,503
1,2013,1,2,01/02/2013,7,4,1,1,0,3,40.79820284,-73.97224859,MANHATTAN,STREET,341,339
1,2013,1,2,01/02/2013,7,6,3,1,1,4,40.75813555,-73.99285444,MANHATTAN,STREET,235,511
1,2013,1,2,01/02/2013,7,8,3,1,1,5,40.7444513,-73.97905924,MANHATTAN,STREET,355,115
1,2013,1,2,01/02/2013,7,3,3,1,1,2,40.81595938,-73.95727362,MANHATTAN,RESIDENCE - APT. HOUSE,344,101
1,2013,1,2,01/02/2013,7,3,2,1,1,2,40.81595938,-73.95727362,MANHATTAN,RESIDENCE - APT. HOUSE,344,101
1,2013,1,2,01/02/2013,7,2,1,1,1,3,40.78405987,-73.97502051,MANHATTAN,TRANSIT - NYC SUBWAY,233,175
1,2013,1,2,01/02/2013,7,3,3,3,1,3,40.80978751,-73.92239983,BRONX,STREET,118,793
1,2013,1,2,01/02/2013,7,4,2,1,1,4,40.74973364,-73.98967569,MANHATTAN,CLOTHING/BOUTIQUE,341,313
1,2013,1,2,01/02/2013,7,2,1,3,1,6,40.69969571,-73.98169157,BROOKLYN,RESIDENCE - PUBLIC HOUSING,578,637
3,2013,1,2,01/02/2013,7,4,2,1,1,3,40.79679044,-73.93940441,MANHATTAN,RESIDENCE - PUBLIC HOUSING,109,419
1,2013,1,2,01/02/2013,7,4,1,1,1,5,40.74156542,-73.99167978,MANHATTAN,RESTAURANT/DINER,341,338
1,2013,1,2,01/02/2013,7,3,2,2,1,4,40.7606115,-73.96433366,MANHATTAN,STREET,344,101
2,2013,1,2,01/02/2013,7,4,1,1,0,4,40.74968132,-73.98795774,MANHATTAN,SHOE,341,333
1,2013,1,2,01/02/2013,7,4,2,2,1,5,40.74747149,-73.98527303,MANHATTAN,RESTAURANT/DINER,109,438
1,2013,1,2,01/02/2013,7,2,3,3,0,3,40.80922337,-73.9381107,MANHATTAN,RESIDENCE - APT. HOUSE,578,638
1,2013,1,2,01/02/2013,7,3,2,2,0,4,40.75724053,-73.98979364,MANHATTAN,TRANSIT - NYC SUBWAY,344,101
1,2013,1,2,01/02/2013,7,8,2,2,1,2,40.83111635,-73.93041152,BRONX,CANDY STORE,351,259
1,2013,1,2,01/02/2013,7,3,1,3,0,4,40.75868736,-73.99516094,MANHATTAN,STREET,344,101
1,2013,1,2,01/02/2013,7,2,2,3,1,2,40.82153568,-73.92778763,BRONX,OTHER,578,637
1,2013,1,2,01/02/2013,7,3,1,3,1,6,40.6836453,-73.98977605,BROOKLYN,RESIDENCE - PUBLIC HOUSING,344,101
2,2013,1,2,01/02/2013,7,4,2,1,0,4,40.77870307,-73.97971645,MANHATTAN,RESIDENCE - APT. HOUSE,109,405
1,2013,1,2,01/02/2013,6,4,1,1,1,3,40.798964,-73.95031372,MANHATTAN,RESIDENCE - PUBLIC HOUSING,352,205
1,2013,1,2,01/02/2013,6,4,1,3,1,6,40.686761,-73.99604235,BROOKLYN,STREET,105,397
1,2013,1,2,01/02/2013,6,4,1,1,1,4,40.76380068,-73.9737863,MANHATTAN,CLOTHING/BOUTIQUE,109,433
2,2013,1,2,01/02/2013,6,4,2,1,0,3,40.80339136,-73.93910943,MANHATTAN,RESIDENCE - PUBLIC HOUSING,352,205
1,2013,1,2,01/02/2013,6,3,3,1,1,4,40.78073918,-73.94473054,MANHATTAN,RESIDENCE - PUBLIC HOUSING,344,101
1,2013,1,2,01/02/2013,6,8,2,2,0,2,40.81856834,-73.92731395,BRONX,TRANSIT - NYC SUBWAY,363,799
1,2013,1,2,01/02/2013,6,3,3,1,1,3,40.81489035,-73.9612627,MANHATTAN,RESIDENCE - APT. HOUSE,106,109
1,2013,1,2,01/02/2013,6,4,2,3,1,4,40.74943967,-73.98692557,MANHATTAN,CLOTHING/BOUTIQUE,341,333
1,2013,1,2,01/02/2013,6,3,3,1,0,5,40.71718627,-73.98891235,MANHATTAN,RESIDENCE - PUBLIC HOUSING,344,101
1,2013,1,2,01/02/2013,6,4,2,1,1,6,40.68766922,-73.99077424,BROOKLYN,STREET,109,419
1,2013,1,2,01/02/2013,6,8,3,1,1,5,40.7180267,-73.99995816,MANHATTAN,CONSTRUCTION SITE,351,258
1,2013,1,2,01/02/2013,6,3,2,3,1,6,40.71171645,-73.99686328,MANHATTAN,RESIDENCE - PUBLIC HOUSING,106,109
1,2013,1,2,01/02/2013,6,4,2,1,1,5,40.73199197,-74.00342922,MANHATTAN,RESTAURANT/DINER,109,438
1,2013,1,2,01/02/2013,6,8,2,2,1,1,40.8712275,-73.91415294,MANHATTAN,PARKING LOT/GARAGE (PUBLIC),361,639
1,2013,1,2,01/02/2013,6,4,1,1,0,2,40.82065087,-73.92619526,BRONX,STREET,341,321
1,2013,1,2,01/02/2013,6,8,1,3,1,3,40.80033376,-73.9446023,MANHATTAN,RESIDENCE - PUBLIC HOUSING,361,639
1,2013,1,2,01/02/2013,6,6,3,1,0,4,40.78013353,-73.95303587,MANHATTAN,PARK/PLAYGROUND,235,508
1,2013,1,2,01/02/2013,6,4,1,3,0,4,40.75204466,-73.94272232,QUEENS,STREET,105,397
1,2013,1,2,01/02/2013,6,8,2,3,1,6,40.69255767,-73.9909719,BROOKLYN,TRANSIT - NYC SUBWAY,361,639
1,2013,1,2,01/02/2013,6,4,1,1,0,6,40.68566776,-73.98569051,BROOKLYN,STREET,105,397
